tconst,nconst,category,characters
tt1314242,nm0660558,actress,[Vicky]
tt1314242,nm1028174,actor,[Kyr-Kostas]
tt1314242,nm2179540,actress,[Olga]
tt1314242,nm3030452,actor,[Mageiras]
tt1314242,nm2055778,actor,[Johnny]
tt1314242,nm1688987,actor,[Androkles]
tt1314242,nm0636741,director,\N
tt1314269,nm0824785,actress,[Thea Barfoed]
tt1314269,nm0265873,actor,[Christian Barfoed]
tt1314269,nm0540792,actress,[Maiken]
tt1314269,nm0740075,actor,[Tom]
tt1314269,nm3211105,actor,[William Barfoed]
tt1314269,nm3211011,actor,[Matthias Barfoed]
tt1314269,nm1457031,actress,[Påklæder]
tt1314269,nm0535248,actor,[Peter]
tt1314269,nm3626038,actress,[Ekspedient]
tt1314269,nm3538206,actor,[AA-mand]
tt1314269,nm1324710,director,\N
tt1314280,nm0512071,actor,[Simon Calmat]
tt1314280,nm3177137,actor,[Bilal]
tt1314280,nm0199047,actress,[Marion Calmat]
